ISO639-2Code,ISO639-1Code,English name of Language,,,,,
aar,aa,Afar,,,,,
abk,ab,Abkhazian,,,,,
ave,ae,Avestan,,,,,
afr,af,Afrikaans,,,,,
aka,ak,Akan,,,,,
amh,am,Amharic,,,,,
arg,an,Aragonese,,,,,
ara,ar,Arabic,,,,,
asm,as,Assamese,,,,,
ava,av,Avaric,,,,,
aym,ay,Aymara,,,,,
aze,az,Azerbaijani,,,,,
bak,ba,Bashkir,,,,,
bel,be,Belarusian,,,,,
bul,bg,Bulgarian,,,,,
bih,bh,Bihari languages,,,,,
bis,bi,Bislama,,,,, 
bam,bm,Bambara,,,,, 
ben,bn,Bengali,,,,, 
tib,bo,Tibetan,,,,, 
bod,bo,Tibetan,,,,, 
bre,br,Breton,,,,, 
bos,bs,Bosnian,,,,, 
cat,ca,Catalan; Valencian,,,,, 
che,ce,Chechen,,,,, 
cha,ch,Chamorro,,,,, 
cos,co,Corsican,,,,,
cre,cr,Cree,,,,,
cze,cs,Czech,,,,,
ces,cs,Czech,,,,,
chu,cu,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,,,,,
chv,cv,Chuvash,,,,,
wel,cy,Welsh,,,,,
cym,cy,Welsh,,,,,
dan,da,Danish,,,,,
ger,de,German,,,,,
deu,de,German,,,,,
div,dv,Divehi; Dhivehi; Maldivian,,,,,
dzo,dz,Dzongkha,,,,,
ewe,ee,Ewe,,,,,
gre,el,"Greek, Modern (1453-)",,,,,
ell,el,"Greek, Modern (1453-)",,,,,
eng,en,English,,,,,
epo,eo,Esperanto,,,,,
spa,es,Spanish; Castilian,,,,,
est,et,Estonian,,,,,
baq,eu,Basque,,,,,
eus,eu,Basque,,,,,
per,fa,Persian,,,,,
fas,fa,Persian,,,,,
ful,ff,Fulah,,,,,
fin,fi,Finnish,,,,,
fij,fj,Fijian,,,,,
fao,fo,Faroese,,,,,
fre,fr,French,,,,,
fra,fr,French,,,,,
fry,fy,Western Frisian,,,,,
gle,ga,Irish,,,,,
gla,gd,Gaelic; Scottish Gaelic,,,,,
glg,gl,Galician,,,,,
grn,gn,Guarani,,,,,
guj,gu,Gujarati,,,,,
glv,gv,Manx,,,,,
hau,ha,Hausa,,,,,
heb,he,Hebrew,,,,,
hin,hi,Hindi,,,,,
hmo,ho,Hiri Motu,,,,,
hrv,hr,Croatian,,,,,
hat,ht,Haitian; Haitian Creole,,,,,
hun,hu,Hungarian,,,,,
arm,hy,Armenian,,,,,
hye,hy,Armenian,,,,,
her,hz,Herero,,,,,
ina,ia,Interlingua (International Auxiliary Language Association),,,,,
ind,id,Indonesian,,,,,
ile,ie,Interlingue; Occidental,,,,,
ibo,ig,Igbo,,,,,
iii,ii,Sichuan Yi; Nuosu,,,,,
ipk,ik,Inupiaq,,,,,
ido,io,Ido,,,,,
ice,is,Icelandic,,, ,,
isl,is,Icelandic,,, ,,
ita,it,Italian,,, ,,
iku,iu,Inuktitut,,, ,,
jpn,ja,Japanese,,, ,,
jav,jv,Javanese,,, ,,
geo,ka,Georgian,,, ,,
kat,ka,Georgian,,,  ,,
kon,kg,Kongo,,, ,,
kik,ki,Kikuyu; Gikuyu,,,,,
kua,kj,Kuanyama; Kwanyama,,,,,
kaz,kk,Kazakh,,,,,
kal,kl,Kalaallisut; Greenlandic,,,,,
khm,km,Central Khmer,,,,,
kan,kn,Kannada,,,,,
kor,ko,Korean,,,,,
kau,kr,Kanuri,,,,,
kas,ks,Kashmiri,,,,,
kur,ku,Kurdish,,,,,
kom,kv,Komi,,,,,
cor,kw,Cornish,,,,,
kir,ky,Kirghiz; Kyrgyz,,,,,
lat,la,Latin,,,,,
ltz,lb,Luxembourgish; Letzeburgesch,,,,,
lug,lg,Ganda,,,,,
lim,li,Limburgan; Limburger; Limburgish,,,,,
lin,ln,Lingala,,,,,
lao,lo,Lao,,,,,
lit,lt,Lithuanian,,,,,
lub,lu,Luba-Katanga,,,,,
lav,lv,Latvian,,,,,
mlg,mg,Malagasy,,,,,
mah,mh,Marshallese,,,,,
mao,mi,Maori,,,,,
mri,mi,Maori,,,,,
mac,mk,Macedonian,,,,,
mkd,mk,Macedonian,,,,,
mal,ml,Malayalam,,,,,
mon,mn,Mongolian,,,,,
mar,mr,Marathi,,,,,
may,ms,Malay,,,,,
msa,ms,Malay,,,,,
mlt,mt,Maltese,,,,,
bur,my,Burmese,,,,,
mya,my,Burmese,,,,,
nau,na,Nauru,,,,,
nob,nb,"Bokmål, Norwegian; Norwegian Bokmål",,,,,
nde,nd,"Ndebele, North; North Ndebele",,,,,
nep,ne,Nepali,,,,,
ndo,ng,Ndonga,,,,,
dut,nl,Dutch; Flemish,,,,,
nld,nl,Dutch; Flemish,,,,,
nno,nn,"Norwegian Nynorsk; Nynorsk, Norwegian",,,,,
nor,no,Norwegian,,,,,
nbl,nr,"Ndebele, South; South Ndebele",,,,,
nav,nv,Navajo; Navaho,,,,,
nya,ny,Chichewa; Chewa; Nyanja,,,,,
oci,oc,Occitan (post 1500),,,,,
oji,oj,Ojibwa,,,,,
orm,om,Oromo,,,,,
ori,or,Oriya,,,,,
oss,os,Ossetian; Ossetic,,,,,
pan,pa,Panjabi; Punjabi,,,,,
pli,pi,Pali,,,,,
pol,pl,Polish,,,,,
pus,ps,Pushto; Pashto,,,,,
por,pt,Portuguese,,,,,
que,qu,Quechua,,,,,
roh,rm,Romansh,,,,,
run,rn,Rundi,,,,,
rum,ro,Romanian; Moldavian; Moldovan,,,,,
ron,ro,Romanian; Moldavian; Moldovan,,,,,
rus,ru,Russian,,,,,
kin,rw,Kinyarwanda,,,,,
san,sa,Sanskrit,,,,,
srd,sc,Sardinian,,,,,
snd,sd,Sindhi,,,,,
sme,se,Northern Sami,,,,,
sag,sg,Sango,,,,,
sin,si,Sinhala; Sinhalese,,,,,
slo,sk,Slovak,,,,,
slv,sl,Slovenian,,,,,
smo,sm,Samoan,,,,,
sna,sn,Shona,,,,,
som,so,Somali,,,,,
alb,sq,Albanian,,,,,
sqi,sq,Albanian,,,,,
srp,sr,Serbian,,,,,
ssw,ss,Swati,,,,,
sot,st,"Sotho, Southern",,,,,
sun,su,Sundanese,,,,,
swe,sv,Swedish,,,,,
swa,sw,Swahili,,,,,
tam,ta,Tamil,,,,,
tel,te,Telugu,,,,,
tgk,tg,Tajik,,,,,
tha,th,Thai,,,,,
tir,ti,Tigrinya,,,,,
tuk,tk,Turkmen,,,,,
tgl,tl,Tagalog,,,,,
tsn,tn,Tswana,,,,,
ton,to,Tonga (Tonga Islands),,,,,
tur,tr,Turkish,,,,,
tso,ts,Tsonga,,,,,
tat,tt,Tatar,,,,,
twi,tw,Twi,,,,,
tah,ty,Tahitian,,,,,
uig,ug,Uighur; Uyghur,,,,,
ukr,uk,Ukrainian,,,,,
urd,ur,Urdu,,,,,
uzb,uz,Uzbek,,,,,
ven,ve,Venda,,,,,
vie,vi,Vietnamese,,,,,
vol,vo,Volapük,,,,,
wln,wa,Walloon,,,,,
wol,wo,Wolof,,,,,
xho,xh,Xhosa,,,,,
yid,yi,Yiddish,,,,,
yor,yo,Yoruba,,,,,
zha,za,Zhuang; Chuang,,,,,
chi,zh,Chinese,,,,,
zho,zh,Chinese,,,,,
zul,zu,Zulu,,,,,
,,,,,,,
