"","code","name"
"1","fr","French"
"2","en","English"
"3","ar","Arabic"
"4","ja","Japanese"
"5","es","Spanish"
"6","de","German"
"7","it","Italian"
"8","id","Indonesian"
"9","pt","Portuguese"
"10","ko","Korean"
"11","tr","Turkish"
"12","ru","Russian"
"13","nl","Dutch"
"14","fil","Filipino"
"15","msa","Malay"
"16","zh-tw","Traditional Chinese"
"17","zh-cn","Simplified Chinese"
"18","hi","Hindi"
"19","no","Norwegian"
"20","sv","Swedish"
"21","fi","Finnish"
"22","da","Danish"
"23","pl","Polish"
"24","hu","Hungarian"
"25","fa","Persian"
"26","he","Hebrew"
"27","ur","Urdu"
"28","th","Thai"
"29","uk","Ukrainian"
"30","ca","Catalan"
"31","ga","Irish"
"32","el","Greek"
"33","eu","Basque"
"34","cs","Czech"
"35","gl","Galician"
"36","ro","Romanian"
"37","hr","Croatian"
"38","en-gb","British English"
"39","vi","Vietnamese"
"40","bn","Bangla"
"41","bg","Bulgarian"
"42","sr","Serbian"
"43","sk","Slovak"
"44","gu","Gujarati"
"45","mr","Marathi"
"46","ta","Tamil"
"47","kn","Kannada"
"48","am","Amharic"
"49","hn","Hungarian"
"50","is","Icelandic"
"51","hy","Armenian"
"52","in","Indonesian"
"53","sd","Sindhi"
"54","my","Burmese"
"55","si","Sinhala"
"56","zh","Chinese"
"57","km","Khmer"
"58","sl","Slovenian"
"59","lo","Lao"
"60","ckb","Sorani Kurdish"
"61","lv","Latvian"
"62","lt","Lithuanian"
"63","et","Estonian"
"64","ml","Malayalam"
"65","tl","Tagalog"
"66","dv","Maldivian"
"67","te","Telugu"
"68","ka","Georgian"
"69","ne","Nepali"
"70","bo","Tibetan"
"71","or","Oriya"
"72","pa","Panjabi"
"73","ht","Haitian"
"74","ps","Pashto"
"75","iw","Hebrew"
"76","ug","Uyghur"
"77","cy","Welsh"
