source_type,source_link,code,name
government website,https://www.london.gov.uk/what-we-do/accessibility,bn,Bangla
government website,https://www.london.gov.uk/what-we-do/accessibility,en,English
government website,https://www.london.gov.uk/what-we-do/accessibility,en-gb,English
Meetup,https://www.meetup.com/cities/gb/17/london/language/?pageToken=default%7c100&country=gb&city=london&state=17&category_names=language&radius=25,ar,Arabic
Meetup,https://www.meetup.com/cities/gb/17/london/language/?pageToken=default%7c100&country=gb&city=london&state=17&category_names=language&radius=25,de,German
Meetup,https://www.meetup.com/cities/gb/17/london/language/?pageToken=default%7c100&country=gb&city=london&state=17&category_names=language&radius=25,el,Greek
Meetup,https://www.meetup.com/cities/gb/17/london/language/?pageToken=default%7c100&country=gb&city=london&state=17&category_names=language&radius=25,es,Spanish
Meetup,https://www.meetup.com/cities/gb/17/london/language/?pageToken=default%7c100&country=gb&city=london&state=17&category_names=language&radius=25,fr,French
Meetup,https://www.meetup.com/cities/gb/17/london/language/?pageToken=default%7c100&country=gb&city=london&state=17&category_names=language&radius=25,it,Italian
Meetup,https://www.meetup.com/cities/gb/17/london/language/?pageToken=default%7c100&country=gb&city=london&state=17&category_names=language&radius=25,ja,Japanese
Meetup,https://www.meetup.com/cities/gb/17/london/language/?pageToken=default%7c100&country=gb&city=london&state=17&category_names=language&radius=25,ko,Korean
Meetup,https://www.meetup.com/cities/gb/17/london/language/?pageToken=default%7c100&country=gb&city=london&state=17&category_names=language&radius=25,nl,Dutch
Meetup,https://www.meetup.com/cities/gb/17/london/language/?pageToken=default%7c100&country=gb&city=london&state=17&category_names=language&radius=25,pl,Polish
Meetup,https://www.meetup.com/cities/gb/17/london/language/?pageToken=default%7c100&country=gb&city=london&state=17&category_names=language&radius=25,tr,Turkish
Meetup,https://www.meetup.com/cities/gb/17/london/language/?pageToken=default%7c100&country=gb&city=london&state=17&category_names=language&radius=25,vi,Vietnamese
Meetup,https://www.meetup.com/cities/gb/17/london/language/?pageToken=default%7c100&country=gb&city=london&state=17&category_names=language&radius=25,zh,Chinese
Meetup,https://www.meetup.com/cities/gb/17/london/language/?pageToken=default%7c100&country=gb&city=london&state=17&category_names=language&radius=25,zh-cn,Chinese
Meetup,https://www.meetup.com/cities/gb/17/london/language/?pageToken=default%7c100&country=gb&city=london&state=17&category_names=language&radius=25,zh-tw,Chinese
Meetup,https://www.meetup.com/cities/gb/17/london/language/?pageToken=default%7c100&country=gb&city=london&state=17&category_names=language&radius=25,,Afrikans
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_Kingdom#Non-English-language_newspapers,ar,Arabic
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_Kingdom#Non-English-language_newspapers,bg,Bulgarian
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_Kingdom#Non-English-language_newspapers,bn,Bangla
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_Kingdom#Non-English-language_newspapers,cy,Welsh
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_Kingdom#Non-English-language_newspapers,ga,Irish
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_the_United_Kingdom#Non-English-language_newspapers,gu,Gujarati
