source_type,source_link,code,name
government website,https://www1.nyc.gov/,,Afrikaans
government website,https://www1.nyc.gov/,,Albanian
government website,https://www1.nyc.gov/,am,Amharic
government website,https://www1.nyc.gov/,ar,Arabic
government website,https://www1.nyc.gov/,hy,Armenian
government website,https://www1.nyc.gov/,,Azerbaijani
government website,https://dmv.ny.gov/more-info/language-assistance,bn,Bangla
government website,https://www1.nyc.gov/,eu,Basque
government website,https://www1.nyc.gov/,,Belarusian
government website,https://www1.nyc.gov/,,Bosnian
government website,https://www1.nyc.gov/,bg,Bulgarian
government website,https://www1.nyc.gov/,my,Burmese
government website,https://www1.nyc.gov/,ca,Catalan
government website,https://www1.nyc.gov/,,Cebuano
government website,https://www1.nyc.gov/,,Chichewa
government website,https://dmv.ny.gov/more-info/language-assistance,zh,Chinese
government website,https://www1.nyc.gov/,,Corsican
government website,https://www1.nyc.gov/,hr,Croatian
government website,https://www1.nyc.gov/,cs,Czech
government website,https://www1.nyc.gov/,da,Danish
government website,https://www1.nyc.gov/,nl,Dutch
government website,https://www1.nyc.gov/,,Esperanto
government website,https://www1.nyc.gov/,et,Estonian
government website,https://www1.nyc.gov/,fil,Filipino
government website,https://www1.nyc.gov/,fi,Finnish
government website,https://www1.nyc.gov/,fr,French
government website,https://www1.nyc.gov/,,Frisian
government website,https://www1.nyc.gov/,gl,Galician
government website,https://www1.nyc.gov/,ka,Georgian
government website,https://www1.nyc.gov/,de,German
government website,https://www1.nyc.gov/,el,Greek
government website,https://www1.nyc.gov/,gu,Gujarati
government website,https://dmv.ny.gov/more-info/language-assistance,ht,Haitian
government website,https://www1.nyc.gov/,,Hausa
government website,https://www1.nyc.gov/,,Hawaiian
government website,https://www1.nyc.gov/,he,Hebrew
government website,https://www1.nyc.gov/,iw,Hebrew
government website,https://www1.nyc.gov/,hi,Hindi
government website,https://www1.nyc.gov/,,Hmong
government website,https://www1.nyc.gov/,hu,Hungarian
government website,https://www1.nyc.gov/,hn,Hungarian
government website,https://www1.nyc.gov/,is,Icelandic
government website,https://www1.nyc.gov/,,Igbo
government website,https://www1.nyc.gov/,id,Indonesian
government website,https://www1.nyc.gov/,in,Indonesian
government website,https://www1.nyc.gov/,ga,Irish
government website,https://dmv.ny.gov/more-info/language-assistance,it,Italian
government website,https://www1.nyc.gov/,ja,Japanese
government website,https://www1.nyc.gov/,,Javanese
government website,https://www1.nyc.gov/,kn,Kannada
government website,https://www1.nyc.gov/,,Kazakh
government website,https://www1.nyc.gov/,km,Khmer
government website,https://dmv.ny.gov/more-info/language-assistance,ko,Korean
government website,https://www1.nyc.gov/,,Kyrgyz
government website,https://www1.nyc.gov/,lo,Lao
government website,https://www1.nyc.gov/,,Latin
government website,https://www1.nyc.gov/,lv,Latvian
government website,https://www1.nyc.gov/,lt,Lithuanian
government website,https://www1.nyc.gov/,,Luxembourgish
government website,https://www1.nyc.gov/,,Macedonian
government website,https://www1.nyc.gov/,,Malagasy
government website,https://www1.nyc.gov/,msa,Malay
government website,https://www1.nyc.gov/,ml,Malayalam
government website,https://www1.nyc.gov/,,Maltese
government website,https://www1.nyc.gov/,,Maori
government website,https://www1.nyc.gov/,mr,Marathi
government website,https://www1.nyc.gov/,,Mongolian
government website,https://www1.nyc.gov/,ne,Nepali
government website,https://www1.nyc.gov/,no,Norwegian
government website,https://www1.nyc.gov/,pa,Panjabi
government website,https://www1.nyc.gov/,ps,Pashto
government website,https://www1.nyc.gov/,fa,Persian
government website,https://www1.nyc.gov/,pl,Polish
government website,https://www1.nyc.gov/,pt,Portuguese
government website,https://www1.nyc.gov/,ro,Romanian
government website,https://dmv.ny.gov/more-info/language-assistance,ru,Russian
government website,https://www1.nyc.gov/,,Samoan
government website,https://www1.nyc.gov/,,Scots Gaelic
government website,https://www1.nyc.gov/,sr,Serbian
government website,https://www1.nyc.gov/,,Sesotho
government website,https://www1.nyc.gov/,,Shona
government website,https://dmv.ny.gov/more-info/language-assistance,zh-cn,Simplified Chinese
government website,https://www1.nyc.gov/,sd,Sindhi
government website,https://www1.nyc.gov/,si,Sinhala
government website,https://www1.nyc.gov/,sk,Slovak
government website,https://www1.nyc.gov/,sl,Slovenian
government website,https://www1.nyc.gov/,,Somali
government website,https://www1.nyc.gov/,ckb,Sorani Kurdish
government website,https://dmv.ny.gov/more-info/language-assistance,es,Spanish
government website,https://www1.nyc.gov/,,Sundanese
government website,https://www1.nyc.gov/,,Swahili
government website,https://www1.nyc.gov/,sv,Swedish
government website,https://www1.nyc.gov/,tl,Tagalog
government website,https://www1.nyc.gov/,,Tajik
government website,https://www1.nyc.gov/,ta,Tamil
government website,https://www1.nyc.gov/,te,Telugu
