source_type,source_link,code,name,,,
government websites,Typical example: http://www.president.tj/en/taxonomy/term/5/35,,Tajik,,,
government websites,Typical example: http://www.president.tj/en/taxonomy/term/5/35,ru,Russian,,,
government websites,Typical example: http://www.president.tj/en/taxonomy/term/5/35,en,English,,,
government websites,Typical example: http://www.president.tj/en/taxonomy/term/5/35,ar,Arabic,,,
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_Tajikistan,ru,Russian,,,
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_Tajikistan,,Tajik,,,
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_Tajikistan,,Uzbek,,,
newspapers,https://en.wikipedia.org/wiki/List_of_newspapers_in_Tajikistan,en,English,,,
radio stations,https://en.wikipedia.org/wiki/Media_of_Tajikistan#cite_note-cp-1,fa,Persian,,,
radio stations,https://en.wikipedia.org/wiki/Media_of_Tajikistan#cite_note-cp-1,ru,Russian,,,
radio stations,https://en.wikipedia.org/wiki/Media_of_Tajikistan#cite_note-cp-1,,Tajik,,,
radio stations,https://en.wikipedia.org/wiki/Media_of_Tajikistan#cite_note-cp-1,,Uzbek
