"","X1","X2","X3","X4","X5"
"1","fr","French","français","production","FALSE"
"2","en","English","English","production","FALSE"
"3","ar","Arabic","العربية","production","FALSE"
"4","ja","Japanese","日本語","production","FALSE"
"5","es","Spanish","español","production","FALSE"
"6","de","German","Deutsch","production","FALSE"
"7","it","Italian","italiano","production","FALSE"
"8","id","Indonesian","Indonesia","production","FALSE"
"9","pt","Portuguese","português","production","FALSE"
"10","ko","Korean","한국어","production","FALSE"
"11","tr","Turkish","Türkçe","production","FALSE"
"12","ru","Russian","русский","production","FALSE"
"13","nl","Dutch","Nederlands","production","FALSE"
"14","fil","Filipino","Filipino","production","FALSE"
"15","msa","Malay","Melayu","production","FALSE"
"16","zh-tw","Traditional Chinese","繁體中文","production","FALSE"
"17","zh-cn","Simplified Chinese","简体中文","production","FALSE"
"18","hi","Hindi","हिन्दी","production","FALSE"
"19","no","Norwegian","norsk","production","FALSE"
"20","sv","Swedish","svenska","production","FALSE"
"21","fi","Finnish","suomi","production","FALSE"
"22","da","Danish","dansk","production","FALSE"
"23","pl","Polish","polski","production","FALSE"
"24","hu","Hungarian","magyar","production","FALSE"
"25","fa","Persian","فارسی","production","FALSE"
"26","he","Hebrew","עברית","production","FALSE"
"27","ur","Urdu","اردو","beta","FALSE"
"28","th","Thai","ไทย","production","FALSE"
"29","uk","Ukrainian","українська","production","FALSE"
"30","ca","Catalan","català","production","FALSE"
"31","ga","Irish","Gaeilge","beta","FALSE"
"32","el","Greek","Ελληνικά","production","FALSE"
"33","eu","Basque","euskara","beta","FALSE"
"34","cs","Czech","čeština","production","FALSE"
"35","gl","Galician","galego","beta","FALSE"
"36","ro","Romanian","română","production","FALSE"
"37","hr","Croatian","hrvatski","production","FALSE"
"38","en-gb","British English","British English","production","FALSE"
"39","vi","Vietnamese","Tiếng Việt","production","FALSE"
"40","bn","Bangla","বাংলা","production","FALSE"
"41","bg","Bulgarian","български","production","FALSE"
"42","sr","Serbian","српски","production","FALSE"
"43","sk","Slovak","slovenčina","production","FALSE"
"44","gu","Gujarati","ગુજરાતી","production","FALSE"
"45","mr","Marathi","मराठी","production","FALSE"
"46","ta","Tamil","தமிழ்","production","FALSE"
"47","kn","Kannada","ಕನ್ನಡ","production","FALSE"
