"","code","name","local_name","status","debug","Language"
"1","fr","French","français","production","FALSE","French"
"2","en","English","English","production","FALSE","English"
"3","ar","Arabic","العربية","production","FALSE","Arabic"
"4","ja","Japanese","日本語","production","FALSE","Japanese"
"5","es","Spanish","español","production","FALSE","Spanish"
"6","de","German","Deutsch","production","FALSE","German"
"7","it","Italian","italiano","production","FALSE","Italian"
"8","id","Indonesian","Indonesia","production","FALSE",NA
"9","pt","Portuguese","português","production","FALSE","Portuguese"
"10","ko","Korean","한국어","production","FALSE","Korean"
"11","tr","Turkish","Türkçe","production","FALSE","Turkish"
"12","ru","Russian","русский","production","FALSE","Russian"
"13","nl","Dutch","Nederlands","production","FALSE","Dutch"
"14","fil","Filipino","Filipino","production","FALSE",NA
"15","msa","Malay","Melayu","production","FALSE",NA
"16","zh-tw","Traditional Chinese","繁體中文","production","FALSE",NA
"17","zh-cn","Simplified Chinese","简体中文","production","FALSE",NA
"18","hi","Hindi","हिन्दी","production","FALSE","Hindi"
"19","no","Norwegian","norsk","production","FALSE","Norwegian"
"20","sv","Swedish","svenska","production","FALSE","Swedish"
"21","fi","Finnish","suomi","production","FALSE","Finnish"
"22","da","Danish","dansk","production","FALSE","Danish"
"23","pl","Polish","polski","production","FALSE","Polish"
"24","hu","Hungarian","magyar","production","FALSE",NA
"25","fa","Persian","فارسی","production","FALSE","Persian"
"26","he","Hebrew","עברית","production","FALSE",NA
"27","ur","Urdu","اردو","beta","FALSE","Urdu"
"28","th","Thai","ไทย","production","FALSE","Thai"
"29","uk","Ukrainian","українська","production","FALSE","Ukrainian"
"30","ca","Catalan","català","production","FALSE",NA
"31","ga","Irish","Gaeilge","beta","FALSE",NA
"32","el","Greek","Ελληνικά","production","FALSE","Greek"
"33","eu","Basque","euskara","beta","FALSE",NA
"34","cs","Czech","čeština","production","FALSE","Czech"
"35","gl","Galician","galego","beta","FALSE",NA
"36","ro","Romanian","română","production","FALSE","Romanian"
"37","hr","Croatian","hrvatski","production","FALSE",NA
"38","en-gb","British English","British English","production","FALSE",NA
"39","vi","Vietnamese","Tiếng Việt","production","FALSE","Vietnamese"
"40","bn","Bangla","বাংলা","production","FALSE","Bengali"
"41","bg","Bulgarian","български","production","FALSE","Bulgarian"
"42","sr","Serbian","српски","production","FALSE","Serbian"
"43","sk","Slovak","slovenčina","production","FALSE","Slovak"
"44","gu","Gujarati","ગુજરાતી","production","FALSE","Gujarati"
"45","mr","Marathi","मराठी","production","FALSE","Marathi"
"46","ta","Tamil","தமிழ்","production","FALSE","Tamil"
"47","kn","Kannada","ಕನ್ನಡ","production","FALSE","Kannada"
"48","am",NA,NA,NA,NA,"Amharic"
"49","hn",NA,NA,NA,NA,"Hungarian"
"50","is",NA,NA,NA,NA,"Icelandic"
"51","hy",NA,NA,NA,NA,"Armenian"
"52","in",NA,NA,NA,NA,"Indonesian"
"53","sd",NA,NA,NA,NA,"Sindhi"
"54","my",NA,NA,NA,NA,"Burmese"
"55","si",NA,NA,NA,NA,"Sinhala"
"56","zh",NA,NA,NA,NA,"Chinese"
"57","km",NA,NA,NA,NA,"Khmer"
"58","sl",NA,NA,NA,NA,"Slovenian"
"59","lo",NA,NA,NA,NA,"Lao"
"60","ckb",NA,NA,NA,NA,"Sorani Kurdish"
"61","lv",NA,NA,NA,NA,"Latvian"
"62","lt",NA,NA,NA,NA,"Lithuanian"
"63","et",NA,NA,NA,NA,"Estonian"
"64","ml",NA,NA,NA,NA,"Malayalam"
"65","tl",NA,NA,NA,NA,"Tagalog"
"66","dv",NA,NA,NA,NA,"Maldivian"
"67","te",NA,NA,NA,NA,"Telugu"
"68","ka",NA,NA,NA,NA,"Georgian"
"69","ne",NA,NA,NA,NA,"Nepali"
"70","bo",NA,NA,NA,NA,"Tibetan"
"71","or",NA,NA,NA,NA,"Oriya"
"72","pa",NA,NA,NA,NA,"Panjabi"
"73","ht",NA,NA,NA,NA,"Haitian"
"74","ps",NA,NA,NA,NA,"Pashto"
"75","iw",NA,NA,NA,NA,"Hebrew"
"76","ug",NA,NA,NA,NA,"Uyghur"
"77","cy",NA,NA,NA,NA,"Welsh"
